Feature,TF-IDF Importance
the,518.4708519478775
be,269.4010015611634
of,234.03455470336715
to,231.2644411023869
a,221.05494211748962
and,216.99074620032837
in,210.99579573789444
have,128.94914477616942
that,108.50135462307736
on,101.13089141299345
it,97.06601638610654
israel,90.4161816606697
say,90.32269269665535
for,82.75158787439157
gaza,77.07229765030016
with,60.346685186261666
israeli,58.953101951014084
by,53.59997806246808
he,51.72496044840869
palestinian,49.91089314504334
hamas,48.219338571977026
from,47.64247451227348
an,46.484047277993135
at,45.91537470760366
war,44.595596497241864
not,44.228815702259666
we,40.778590939959855
this,40.603397504174985
his,36.300110236706665
attack,35.05637569146375
kill,34.031018216556156
will,33.831902470760554
they,33.71202599647553
you,32.70380573234242
people,32.433236534750996
but,31.43556098818307
military,31.37182404990467
aid,31.312489935702654
who,31.176905318803943
u,30.640534854762695
mr,30.017097385431256
which,29.18846495114128
their,28.1556983546418
would,27.970793874796385
state,27.82474703706319
more,27.464915033371557
united,26.869210218741816
i,26.791551215116108
after,26.682593742845373
minister,26.22343826003249
hostage,26.133525204808418
all,25.757035912663902
do,25.63148840956456
idf,25.400707144416824
nbsp,25.186986700300935
also,24.47345560976159
there,24.40950814286369
iran,24.352566617653657
rafah,23.754924173653823
our,23.49995148137964
now,23.264224120275635
force,23.0641727208839
time,23.041938991390694
she,22.974940433874174
here,22.754248839898885
take,22.62848966502822
about,22.624630702213885
against,22.213243072091633
security,21.950983515974357
can,21.77657951531953
one,21.743463796346145
her,21.66878104229937
report,21.62974944618866
group,21.371921910069958
official,21.227426984398623
or,20.79190856859163
page,20.59435087573474
than,20.58645908891611
over,20.482772227749496
call,20.427817536415496
university,20.214786578317092
netanyahu,20.140557801126587
continue,20.101161440913536
your,20.0663244190317
day,19.866264572523246
government,19.862795721446087
police,19.790078021994848
into,19.681985549471477
follow,19.65243218459711
close,19.550499325339807
include,19.52571947271261
while,19.33136114968343
live,19.323241172980584
strike,19.191688393606366
ceasefire,19.18142699104058
president,19.109381081917025
international,18.689609963302487
two,18.621708239470703
strip,18.579541913042895
some,18.353179280753135
city,18.305038666637504
when,17.78124532451953
if,17.762971789913507
support,17.69402848618261
out,17.61109239655115
them,17.58352501774567
prime,17.570982713242994
biden,17.507562424275662
other,17.488342227778023
new,17.209870427386818
country,17.141979723953472
accord,17.066131484225107
during,17.06374196813507
terrorist,17.05715053817196
student,17.034990311417985
un,16.9749650140403
since,16.949279326112826
year,16.88555810914888
civilian,16.81541184739608
make,16.789910116129477
what,16.740990244434453
operation,16.571226482215287
october,16.508077759051062
told,16.38177334804935
no,16.365450433756113
west,16.286025432739383
between,16.19003187734254
month,16.165199926817788
hospital,16.057962602190727
world,15.822260855873106
hezbollah,15.792125149555526
7,15.786615847579116
family,15.72216005236439
bank,15.601974382682258
fire,15.583131990368994
come,15.56826734106852
how,15.56608816434381
protest,15.458399004367791
leader,15.197500043867894
go,15.153996817160365
week,15.153090649240811
humanitarian,15.135887175846579
last,15.12149111720941
area,15.091522236173738
child,15.03390608238755
court,15.015586291978162
coverage,15.005487402845494
could,14.79025428808447
release,14.7446462293636
up,14.675191747494344
jerusalem,14.660919329523157
use,14.535706692472893
deal,14.432831641262872
southern,14.207648092801842
want,13.979217551083753
border,13.955263918996524
many,13.872361480187855
arrest,13.622038880966615
where,13.616795222954833
add,13.432315874935453
end,13.345557524060062
need,13.27833348120115
verify,13.203330812908249
air,13.194255931039937
any,13.096487294335864
work,13.043094210793074
palestinians,13.00831047413611
access,13.007938899511212
statement,12.95729699779288
my,12.9481873572648
plan,12.907757708840316
only,12.837494794946851
